key,distance,patch,basis,rounds,method,prior,alpha,rule,keep,cal_n,cal_errors,test_n,test_errors,test_rate,exceed,sig_exceed
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.003,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.003,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.003,naive_raw,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.003,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.01,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.01,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.01,naive_raw,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.01,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.03,ltt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.03,plugin,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.03,naive_raw,0.25,3780,457,3753,488,0.130029309885425,1,1
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.03,naive_platt,,,,,,,,
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.1,ltt,0.05,1002,59,1050,71,0.06761904761904762,0,0
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.1,plugin,0.1,1781,170,1765,187,0.10594900849858357,1,0
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.1,naive_raw,0.8,12103,2697,12000,2700,0.225,1,1
d3_at_q10_7/X/r50,3,q10_7,X,50,mwpm_gap,rl,0.1,naive_platt,,,,,,,,
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,si1000,0.001,ltt,,,,,,,,
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,si1000,0.001,plugin,,,,,,,,
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,si1000,0.001,naive_raw,,,,,,,,
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,si1000,0.001,naive_platt,,,,,,,,
d3_at_q10_7/X/r70,3,q10_7,X,70,mwpm_gap,si1000,0.003,ltt,,,,,,,,
